RAL10
Sampling=1
Gain=5
Zero_base=6877
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 10:23:28.788 1828 41.23
04/18/2023 10:23:29.003 1838 41.23
04/18/2023 10:23:29.220 1843 41.23
04/18/2023 10:23:29.384 1826 41.23
04/18/2023 10:23:29.589 1822 41.23
04/18/2023 10:23:29.797 1851 41.23
04/18/2023 10:23:30.005 1843 41.23
04/18/2023 10:23:30.213 1850 41.23
04/18/2023 10:23:30.421 1849 41.23
04/18/2023 10:23:30.629 1864 41.23
04/18/2023 10:23:30.838 1867 41.23
04/18/2023 10:23:31.045 1880 41.23
04/18/2023 10:23:31.248 1867 41.23
04/18/2023 10:23:31.459 1870 41.23
04/18/2023 10:23:31.669 1873 41.23
04/18/2023 10:23:31.878 1882 41.23
04/18/2023 10:23:32.086 1878 41.23
04/18/2023 10:23:32.295 1882 41.23
04/18/2023 10:23:32.503 1874 41.23
04/18/2023 10:23:32.710 1892 41.23
04/18/2023 10:23:32.919 1881 41.23
04/18/2023 10:23:33.132 1885 41.23
04/18/2023 10:23:33.350 1896 41.23
04/18/2023 10:23:33.512 1902 41.23
04/18/2023 10:23:33.720 1895 41.23
04/18/2023 10:23:33.927 1891 41.23
04/18/2023 10:23:34.137 1900 41.23
04/18/2023 10:23:34.360 1879 41.23
04/18/2023 10:23:34.553 1883 41.23
04/18/2023 10:23:34.765 1899 41.23
04/18/2023 10:23:34.969 1886 41.23
04/18/2023 10:23:35.177 1899 41.23
04/18/2023 10:23:35.377 1885 41.23
04/18/2023 10:23:35.592 1908 41.23
04/18/2023 10:23:35.802 1887 41.23
04/18/2023 10:23:36.009 1888 41.23
04/18/2023 10:23:36.219 1902 41.23
04/18/2023 10:23:36.427 1894 41.23
04/18/2023 10:23:36.635 1916 41.23
04/18/2023 10:23:36.843 1884 41.23
04/18/2023 10:23:37.051 1899 41.23
04/18/2023 10:23:37.266 1916 41.23
04/18/2023 10:23:37.483 1901 41.23
04/18/2023 10:23:37.643 1883 41.23
04/18/2023 10:23:37.853 1888 41.23
04/18/2023 10:23:38.060 1895 41.23
04/18/2023 10:23:38.268 1878 41.23
04/18/2023 10:23:38.476 1873 41.23
04/18/2023 10:23:38.684 1858 41.23
04/18/2023 10:23:38.893 1857 41.23
04/18/2023 10:23:39.101 1826 41.23
04/18/2023 10:23:39.308 1839 41.23
04/18/2023 10:23:39.507 1830 41.23
04/18/2023 10:23:39.722 1824 41.23
04/18/2023 10:23:39.933 1832 41.23
04/18/2023 10:23:40.142 1833 41.23
04/18/2023 10:23:40.350 1842 41.23
04/18/2023 10:23:40.558 1832 41.23
04/18/2023 10:23:40.766 1826 41.23
04/18/2023 10:23:40.974 1835 41.23
04/18/2023 10:23:41.182 1824 41.23
04/18/2023 10:23:41.395 1828 41.23
04/18/2023 10:23:41.614 1821 41.23
04/18/2023 10:23:41.775 1824 41.23
04/18/2023 10:23:41.984 1848 41.23
04/18/2023 10:23:42.191 1818 41.23
04/18/2023 10:23:42.399 1829 41.23
04/18/2023 10:23:42.608 1824 41.23
04/18/2023 10:23:42.815 1836 41.23
04/18/2023 10:23:43.023 1845 41.23
04/18/2023 10:23:43.233 1831 41.23
04/18/2023 10:23:43.437 1862 41.23
04/18/2023 10:23:43.636 1863 41.23
04/18/2023 10:23:43.850 1898 41.23
04/18/2023 10:23:44.064 1903 41.23
04/18/2023 10:23:44.273 1901 41.23
04/18/2023 10:23:44.481 1898 41.23
04/18/2023 10:23:44.688 1894 41.23
04/18/2023 10:23:44.897 1911 41.23
04/18/2023 10:23:45.105 1919 41.23
04/18/2023 10:23:45.315 1890 41.23
04/18/2023 10:23:45.523 1905 41.23
04/18/2023 10:23:45.742 1888 41.23
04/18/2023 10:23:45.906 1891 41.23
04/18/2023 10:23:46.114 1880 41.23
04/18/2023 10:23:46.323 1873 41.23
04/18/2023 10:23:46.531 1885 41.23
04/18/2023 10:23:46.739 1856 41.23
04/18/2023 10:23:46.946 1840 41.23
04/18/2023 10:23:47.155 1836 41.23
04/18/2023 10:23:47.363 1822 41.23
04/18/2023 10:23:47.564 1841 41.23
04/18/2023 10:23:47.763 1829 41.23
04/18/2023 10:23:47.981 1842 41.23
04/18/2023 10:23:48.196 1834 41.23
04/18/2023 10:23:48.405 1819 41.23
04/18/2023 10:23:48.613 1840 41.23
04/18/2023 10:23:48.820 1839 41.23
04/18/2023 10:23:49.029 1796 41.23
04/18/2023 10:23:49.236 1825 41.23
04/18/2023 10:23:49.445 1837 41.23
04/18/2023 10:23:49.653 1835 41.23
04/18/2023 10:23:49.867 1839 41.23
04/18/2023 10:23:50.037 1857 41.23
04/18/2023 10:23:50.245 1866 41.23
04/18/2023 10:23:50.454 1866 41.23
04/18/2023 10:23:50.662 1857 41.23
04/18/2023 10:23:50.870 1873 41.23
04/18/2023 10:23:51.078 1871 41.23
04/18/2023 10:23:51.284 1841 41.23
04/18/2023 10:23:51.495 1861 41.23
04/18/2023 10:23:51.694 1877 41.23
04/18/2023 10:23:51.893 1850 41.23
04/18/2023 10:23:52.108 1860 41.23
04/18/2023 10:23:52.325 1857 41.23
04/18/2023 10:23:52.535 1861 41.23
04/18/2023 10:23:52.744 1861 41.23
04/18/2023 10:23:52.968 1857 41.23
04/18/2023 10:23:53.176 1842 41.23
04/18/2023 10:23:53.368 1844 41.23
04/18/2023 10:23:53.576 1876 41.23
04/18/2023 10:23:53.784 1851 41.23
04/18/2023 10:23:54.000 1852 41.23
04/18/2023 10:23:54.168 1838 41.23
04/18/2023 10:23:54.378 1879 41.23
04/18/2023 10:23:54.585 1849 41.23
04/18/2023 10:23:54.793 1851 41.23
04/18/2023 10:23:55.002 1842 41.23
04/18/2023 10:23:55.210 1869 41.23
04/18/2023 10:23:55.418 1847 41.23
04/18/2023 10:23:55.624 1868 41.23
04/18/2023 10:23:55.825 1867 41.23
04/18/2023 10:23:56.027 1856 41.23
04/18/2023 10:23:56.234 1857 41.23
04/18/2023 10:23:56.454 1856 41.23
04/18/2023 10:23:56.667 1867 41.23
04/18/2023 10:23:56.874 1843 41.23
04/18/2023 10:23:57.083 1864 41.23
04/18/2023 10:23:57.292 1857 41.23
04/18/2023 10:23:57.499 1872 41.23
04/18/2023 10:23:57.708 1864 41.23
04/18/2023 10:23:57.916 1837 41.23
04/18/2023 10:23:58.125 1858 41.23
04/18/2023 10:23:58.300 1860 41.23
04/18/2023 10:23:58.508 1846 41.23
04/18/2023 10:23:58.716 1858 41.23
04/18/2023 10:23:58.924 1863 41.23
04/18/2023 10:23:59.133 1856 41.23
04/18/2023 10:23:59.342 1853 41.23
04/18/2023 10:23:59.549 1835 41.23
04/18/2023 10:23:59.754 1863 41.23
04/18/2023 10:23:59.953 1868 41.23
04/18/2023 10:24:00.157 1866 41.23
04/18/2023 10:24:00.366 1841 41.23
04/18/2023 10:24:00.584 1850 41.23
04/18/2023 10:24:00.799 1847 41.23
04/18/2023 10:24:01.007 1830 41.23
04/18/2023 10:24:01.215 1846 41.23
04/18/2023 10:24:01.422 1841 41.23
04/18/2023 10:24:01.630 1848 41.23
04/18/2023 10:24:01.840 1847 41.23
04/18/2023 10:24:02.046 1848 41.23
04/18/2023 10:24:02.254 1850 41.23
04/18/2023 10:24:02.431 1844 41.23
04/18/2023 10:24:02.639 1855 41.23
04/18/2023 10:24:02.848 1866 41.23
04/18/2023 10:24:03.056 1859 41.23
04/18/2023 10:24:03.264 1832 41.23
04/18/2023 10:24:03.473 1831 41.23
04/18/2023 10:24:03.681 1840 41.23
04/18/2023 10:24:03.880 1850 41.23
04/18/2023 10:24:04.082 1841 41.23
