               data_ora  rad  temperatura elevazione
2023-03-25 21:38:27.827 6393        41.60         20
2023-03-25 21:38:28.031 6394        41.60         20
2023-03-25 21:38:28.239 6409        41.60         20
2023-03-25 21:38:28.448 6412        41.60         20
2023-03-25 21:38:28.655 6400        41.60         20
2023-03-25 21:38:28.863 6398        41.60         20
2023-03-25 21:38:29.071 6376        41.63         20
2023-03-25 21:38:29.279 6364        41.63         20
2023-03-25 21:38:29.485 6335        41.63         20
2023-03-25 21:38:29.696 6322        41.63         20
2023-03-25 21:38:29.911 6333        41.63         20
2023-03-25 21:38:30.119 6320        41.63         20
2023-03-25 21:38:30.336 6336        41.63         20
2023-03-25 21:38:30.545 6324        41.60         20
2023-03-25 21:38:30.753 6321        41.60         20
2023-03-25 21:38:30.962 6310        41.60         20
2023-03-25 21:38:31.184 6300        41.60         20
2023-03-25 21:38:31.362 6303        41.60         20
2023-03-25 21:38:31.569 6303        41.60         20
2023-03-25 21:38:31.758 6318        41.60         20
2023-03-25 21:38:31.959 6300        41.60         20
2023-03-25 21:38:32.162 6325        41.60         20
2023-03-25 21:38:32.370 6326        41.60         20
2023-03-25 21:38:32.578 6316        41.60         20
2023-03-25 21:38:32.786 6323        41.60         20
2023-03-25 21:38:32.993 6325        41.60         20
2023-03-25 21:38:33.202 6346        41.60         20
2023-03-25 21:38:33.409 6331        41.60         20
2023-03-25 21:38:33.618 6323        41.60         20
2023-03-25 21:38:33.827 6322        41.60         20
2023-03-25 21:38:34.035 6317        41.60         20
2023-03-25 21:38:34.243 6356        41.60         20
2023-03-25 21:38:34.463 6325        41.60         20
2023-03-25 21:38:34.675 6329        41.60         20
2023-03-25 21:38:34.884 6313        41.60         20
2023-03-25 21:38:35.093 6303        41.60         20
2023-03-25 21:38:35.294 6297        41.60         20
2023-03-25 21:38:35.476 6274        41.63         20
2023-03-25 21:38:35.685 6297        41.60         20
2023-03-25 21:38:35.890 6287        41.60         20
2023-03-25 21:38:36.089 6255        41.60         20
2023-03-25 21:38:36.293 6267        41.60         20
2023-03-25 21:38:36.502 6278        41.60         20
2023-03-25 21:38:36.708 6278        41.60         20
2023-03-25 21:38:36.918 6271        41.63         20
2023-03-25 21:38:37.127 6272        41.60         20
2023-03-25 21:38:37.349 6276        41.60         20
2023-03-25 21:38:37.559 6310        41.60         20
2023-03-25 21:38:37.751 6337        41.60         20
2023-03-25 21:38:37.959 6311        41.60         20
2023-03-25 21:38:38.167 6310        41.60         20
2023-03-25 21:38:38.375 6319        41.60         20
2023-03-25 21:38:38.592 6308        41.60         20
2023-03-25 21:38:38.807 6330        41.60         20
2023-03-25 21:38:39.014 6325        41.60         20
2023-03-25 21:38:39.224 6314        41.60         20
2023-03-25 21:38:39.432 6295        41.60         20
2023-03-25 21:38:39.607 6300        41.60         20
2023-03-25 21:38:39.816 6297        41.60         20
2023-03-25 21:38:40.018 6303        41.60         20
2023-03-25 21:38:40.220 6307        41.60         20
2023-03-25 21:38:40.425 6306        41.60         20
2023-03-25 21:38:40.633 6281        41.60         20
2023-03-25 21:38:40.842 6301        41.60         20
2023-03-25 21:38:41.049 6278        41.60         20
2023-03-25 21:38:41.258 6272        41.60         20
2023-03-25 21:38:41.465 6266        41.60         20
2023-03-25 21:38:41.673 6271        41.60         20
2023-03-25 21:38:41.880 6276        41.60         20
2023-03-25 21:38:42.089 6298        41.60         20
2023-03-25 21:38:42.298 6280        41.60         20
2023-03-25 21:38:42.506 6292        41.60         20
2023-03-25 21:38:42.718 6272        41.60         20
2023-03-25 21:38:42.935 6298        41.60         20
2023-03-25 21:38:43.147 6311        41.60         20
2023-03-25 21:38:43.353 6301        41.60         20
2023-03-25 21:38:43.563 6303        41.60         20
2023-03-25 21:38:43.739 6301        41.60         20
2023-03-25 21:38:43.947 6297        41.60         20
2023-03-25 21:38:44.150 6298        41.60         20
2023-03-25 21:38:44.350 6299        41.60         20
2023-03-25 21:38:44.556 6282        41.60         20
2023-03-25 21:38:44.764 6283        41.60         20
2023-03-25 21:38:44.973 6274        41.60         20
2023-03-25 21:38:45.180 6268        41.60         20
2023-03-25 21:38:45.389 6281        41.60         20
