               data_ora  rad  temperatura elevazione
2023-04-08 23:21:44.745 3492        40.41         20
2023-04-08 23:21:44.952 3486        40.41         20
2023-04-08 23:21:45.161 3491        40.41         20
2023-04-08 23:21:45.369 3471        40.41         20
2023-04-08 23:21:45.570 3493        40.41         20
2023-04-08 23:21:45.769 3481        40.41         20
2023-04-08 23:21:45.979 3478        40.41         20
2023-04-08 23:21:46.186 3469        40.41         20
2023-04-08 23:21:46.393 3469        40.41         20
2023-04-08 23:21:46.603 3474        40.41         20
2023-04-08 23:21:46.821 3482        40.41         20
2023-04-08 23:21:47.036 3463        40.41         20
2023-04-08 23:21:47.244 3473        40.41         20
2023-04-08 23:21:47.452 3468        40.41         20
2023-04-08 23:21:47.660 3462        40.41         20
2023-04-08 23:21:47.868 3471        40.41         20
2023-04-08 23:21:48.076 3466        40.41         20
2023-04-08 23:21:48.252 3477        40.41         20
2023-04-08 23:21:48.461 3462        40.41         20
2023-04-08 23:21:48.669 3471        40.41         20
2023-04-08 23:21:48.877 3471        40.41         20
2023-04-08 23:21:49.086 3487        40.41         20
2023-04-08 23:21:49.292 3474        40.38         20
2023-04-08 23:21:49.491 3485        40.41         20
2023-04-08 23:21:49.694 3480        40.41         20
2023-04-08 23:21:49.902 3497        40.41         20
2023-04-08 23:21:50.110 3472        40.41         20
2023-04-08 23:21:50.319 3493        40.38         20
2023-04-08 23:21:50.528 3492        40.38         20
2023-04-08 23:21:50.748 3485        40.38         20
2023-04-08 23:21:50.959 3494        40.38         20
2023-04-08 23:21:51.167 3488        40.38         20
2023-04-08 23:21:51.376 3492        40.38         20
2023-04-08 23:21:51.584 3478        40.41         20
2023-04-08 23:21:51.792 3481        40.41         20
2023-04-08 23:21:52.000 3482        40.38         20
2023-04-08 23:21:52.177 3483        40.38         20
2023-04-08 23:21:52.384 3493        40.41         20
2023-04-08 23:21:52.593 3477        40.41         20
2023-04-08 23:21:52.801 3482        40.41         20
2023-04-08 23:21:53.008 3472        40.41         20
2023-04-08 23:21:53.212 3485        40.41         20
2023-04-08 23:21:53.412 3496        40.41         20
